"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4.153061224489796","0.0","0.2407862407862408","1.0","2","8","false","ANXA1","8.5","0","2","0","0.8982883475971033","false","0","ANXA1","0","0.6538461538461539"
"3.9081632653061225","0.21789746826565679","0.2558746736292428","0.25","8","8","false","CXCL8","4.625","0","8","0","0.9061882817643186","false","0","CXCL8","6294","0.21428571428571427"
"3.336734693877551","0.48134511536573393","0.2996941896024465","0.1111111111111111","9","7","false","FN1","3.7777777777777777","0","9","0","0.9246214614878209","false","0","FN1","14914","0.164021164021164"
"1.0","0.0","1.0","0.0","1","1","false","APOD","1.0","0","1","0","1.0","false","0","APOD","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","APOL1","1.0","0","1","0","1.0","false","0","APOL1","0","0.0"
"4.1020408163265305","6.244237913709827E-4","0.24378109452736318","0.8523809523809524","21","9","false","ASPM","20.571428571428573","0","21","0","0.8999341672152733","false","0","ASPM","62","0.6233766233766234"
"4.091836734693878","0.0036468256829081578","0.2443890274314214","0.7835497835497836","22","9","false","DLGAP5","19.954545454545453","0","22","0","0.9002633311389071","false","0","DLGAP5","468","0.6046831955922864"
"4.061224489795919","0.004942906113219598","0.24623115577889446","0.6366666666666667","25","9","false","CCNB1","18.36","0","25","0","0.9012508229098091","false","0","CCNB1","236","0.5563636363636364"
"4.1020408163265305","0.0010619540942494864","0.24378109452736318","0.8285714285714286","21","9","false","MELK","20.142857142857142","0","21","0","0.8999341672152733","false","0","MELK","78","0.6103896103896104"
"4.13265306122449","0.001136124552913949","0.2419753086419753","0.8562091503267973","18","9","false","CDKN3","20.833333333333332","0","18","0","0.8989466754443713","false","0","CDKN3","46","0.6313131313131313"
"4.163265306122449","0.0027483211787861484","0.24019607843137253","0.7142857142857143","15","9","false","SMC4","20.133333333333333","0","15","0","0.8979591836734694","false","0","SMC4","422","0.6101010101010101"
"4.13265306122449","8.339837921154984E-4","0.2419753086419753","0.8496732026143791","18","9","false","FOXM1","21.055555555555557","0","18","0","0.8989466754443713","false","0","FOXM1","54","0.6380471380471381"
"4.112244897959184","8.511332859113207E-4","0.24317617866004962","0.8578947368421053","20","9","false","UBE2C","20.75","0","20","0","0.8996050032916393","false","0","UBE2C","56","0.6287878787878788"
"4.071428571428571","0.002538647328779877","0.2456140350877193","0.7065217391304348","24","9","false","RRM2","19.583333333333332","0","24","0","0.9009216589861752","false","0","RRM2","166","0.5934343434343434"
"4.091836734693878","0.0014110690604483998","0.2443890274314214","0.7922077922077922","22","9","false","CENPF","20.045454545454547","0","22","0","0.9002633311389071","false","0","CENPF","106","0.6074380165289256"
